KEYS,en,de,es,fr,ru,pl
setting.mpautohost,"Auto Host","Automatisches hosten","Autohostear","Hébergement Automatique","Авто-хостинг","Hostuj automatycznie"
setting.mpautohost.desc,"Automatically host on this world. You can set this to disabled, port 7777, or port 16500. Make sure you port forward (if you don't know what that means, please use Google)","Hoste automatisch auf der Welt. Du kannst dies ausschalten, port 7777 oder port 16500 verwenden. Stelle sicher, dass du die Portfreigabe aufgesetzt hast. (wenn du nicht weißt, was das bedeutet, benutze Google)","Hosteá automáticamente en este mundo. Podés configurarlo como desactivado, puerto 7777 o puerto 16500. Asegurate de hacer el port forwarding (si no sabés qué significa, buscá en Google)","Héberger automatiquement sur ce monde. Vous pouvez désactiver cette option, choisir le port 7777 ou 16500. Assurez-vous de rediriger le port (si vous ne savez pas ce que cela signifie, utilisez Google).","Автоматически хостить на этом мире. Вы можете установить это как отключённое, порт 7777 или порт 16500. Убедитесь, что настроили переадресацию портов (если не знаете, что это, используйте Google)"
setting.mpautohost.off,"Disabled","Ausgeschaltet","Deshabilitado","Désactivé","Отключено","Wyłaczone"
setting.mpautohost.val1,"Port 7777","Port 7777","Puerto 7777","Port 7777","Порт 7777","Port 7777"
setting.mpautohost.val2,"Port 16500","Port 16500","Puerto 16500","Port 16500","Порт 16500"," Port 16500"
ui.invalidport,"Please enter a valid port!","Bitte verwende einen validen Port!","Por favor, ingresá un puerto válido!","Veuillez entrer un port valide !","Пожалуйста, введите правильный порт!","Prosze wpisać prawidłowy port!"
ui.changeusername,"Change Username","Ändere deinen Benutzernamen","Cambiar nombre de usuario","Changer de pseudo","Изменить имя пользователя","Zmień nazwe użytkownika"
ui.joinsave,"Join a save to host!","Betrete eine Welt um darauf hosten zu können","Unite a una partida guardada para hostear","Rejoindre un monde pour héberger !","Присоединиться к сохранению для хостинга!","Dołacz do zapisu by zhostować!"
ui.ip,"IP","IP","IP","IP","IP","IP"
ui.port,"Port","Port","Puerto","Port","Порт","Port"
ui.saveusername,"Save Username","Speichere den Benutzernamen","Guardar nombre de usuario","Enregistrer le pseudo","Сохранить имя пользователя","Zapisz nazwe użytkownika"
ui.loading,"Loading...","Laden...","Cargando...","Chargement","Загрузка...","Ładowanie..."
ui.host,"Host","Hosten","Hostear","Héberger","Хост","Hostuj"
ui.join,"Connect","Verbinden","Conectarse","Se connecter","Подключиться","Dołącz"
ui.discord.intro,"Join the discord server for help and updates!","Betrete den Discord Server für Hilfe und Neuigkeiten","Unite al servidor de Discord para obtener ayuda y actualizaciones!","Rejoindre le serveur discord si besoin d'aide et MAJ","Присоединяйтесь к серверу Discord для помощи и обновлений!","Dołacz na serwer discord by otrzymać pomoc i informacje o aktualizacjach!"
ui.discord.invite,"Discord server invite:","Discord Server Einladung:","Invitación del servidor de discord:","Invitation au serveur discord","Приглашение на сервер Discord:","Zaproszenie na serwer discord:"
ui.restartgame,"Restart your game to apply!","Starte dein Spiel neu, um die Änderungen zu speichern!","","Redémarrer le jeu pour appliquer!","","Zrestartuj gre by zastosować zmiany!"
steam.ui.turnon,"Enable Steam (Easy Connect)","Benutze Steam (Zum einfachen verbinden)","","Activer Steam (Connexion Facile)","","Włacz Steam (Łatwe Dołączanie)"
steam.ui.turnoff,"Disable Steam","Schalte Steam aus","","Désactiver Steam","","Wyłacz Steam"
steam.ui.invite,"Invite using Steam","Lade über Steam ein","","Inviter par Steam","","Zaproś przez Steam"
steam.ui.servercode,"Server code: $1","Server-Code: $1","Código del Servidor: $1","Code serveur: $1","Код сервера: $1","Kod serwera: $1"
steam.ui.joinusingcode,"Join using Server Code","Verbinde mit einem Server-Code","","Rejoindre par code serveur","","Dołącz za pomocą kodu"
steam.ui.waitforinvite,"You can also wait for an invite!","Du kannst auch auf eine Einladung warten!","","Vous pouvez également attendre une invitation!","","Możesz poczekać na zaproszenie!"
button.multiplayer,"Multiplayer","","","","","Tryb wieloosobowy"
